/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Skipping layer-0 because train results already exist.
Skipping layer-8 because train results already exist.
Skipping layer-16 because train results already exist.
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:23<00:00,  7.98s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:05<00:00,  1.85s/it]
  0%|                                                                                                                                                               | 0/8 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:332: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:41<00:00,  5.21s/it]
layer:    24 | step:   328 | loss: 0.123 | iou: 0.371
layer:    24 | step:   329 | loss: 0.119 | iou: 0.407
layer:    24 | step:   330 | loss: 0.111 | iou: 0.401
layer:    24 | step:   331 | loss: 0.139 | iou: 0.391
layer:    24 | step:   332 | loss: 0.128 | iou: 0.353
layer:    24 | step:   333 | loss: 0.127 | iou: 0.419
layer:    24 | step:   334 | loss: 0.140 | iou: 0.418
layer:    24 | step:   335 | loss: 0.170 | iou: 0.369
layer:    24 | step:   336 | loss: 0.114 | iou: 0.434
layer:    24 | step:   337 | loss: 0.120 | iou: 0.442
layer:    24 | step:   338 | loss: 0.139 | iou: 0.335
layer:    24 | step:   339 | loss: 0.165 | iou: 0.355
layer:    24 | step:   340 | loss: 0.181 | iou: 0.337
layer:    24 | step:   341 | loss: 0.160 | iou: 0.330
layer:    24 | step:   342 | loss: 0.130 | iou: 0.411
layer:    24 | step:   343 | loss: 0.137 | iou: 0.385
layer:    24 | step:   344 | loss: 0.145 | iou: 0.395
layer:    24 | step:   345 | loss: 0.140 | iou: 0.389
layer:    24 | step:   346 | loss: 0.095 | iou: 0.461
layer:    24 | step:   347 | loss: 0.188 | iou: 0.355
layer:    24 | step:   348 | loss: 0.137 | iou: 0.430
layer:    24 | step:   349 | loss: 0.122 | iou: 0.426
layer:    24 | step:   350 | loss: 0.165 | iou: 0.345
layer:    24 | step:   351 | loss: 0.140 | iou: 0.419
layer:    24 | step:   352 | loss: 0.109 | iou: 0.422
layer:    24 | step:   353 | loss: 0.128 | iou: 0.414
layer:    24 | step:   354 | loss: 0.121 | iou: 0.398
layer:    24 | step:   355 | loss: 0.106 | iou: 0.439
layer:    24 | step:   356 | loss: 0.132 | iou: 0.396
layer:    24 | step:   357 | loss: 0.130 | iou: 0.424
layer:    24 | step:   358 | loss: 0.120 | iou: 0.454
layer:    24 | step:   359 | loss: 0.113 | iou: 0.449
layer:    24 | step:   360 | loss: 0.141 | iou: 0.371
layer:    24 | step:   361 | loss: 0.151 | iou: 0.364
layer:    24 | step:   362 | loss: 0.140 | iou: 0.423
layer:    24 | step:   363 | loss: 0.135 | iou: 0.423
layer:    24 | step:   364 | loss: 0.141 | iou: 0.384
layer:    24 | step:   365 | loss: 0.140 | iou: 0.392
layer:    24 | step:   366 | loss: 0.145 | iou: 0.400
layer:    24 | step:   367 | loss: 0.101 | iou: 0.445
layer:    24 | step:   368 | loss: 0.107 | iou: 0.438
layer:    24 | step:   369 | loss: 0.181 | iou: 0.367
layer:    24 | step:   370 | loss: 0.144 | iou: 0.386
layer:    24 | step:   371 | loss: 0.111 | iou: 0.400
layer:    24 | step:   372 | loss: 0.203 | iou: 0.326
layer:    24 | step:   373 | loss: 0.147 | iou: 0.375
layer:    24 | step:   374 | loss: 0.169 | iou: 0.343
layer:    24 | step:   375 | loss: 0.137 | iou: 0.369
layer:    24 | step:   376 | loss: 0.116 | iou: 0.429
layer:    24 | step:   377 | loss: 0.155 | iou: 0.345
layer:    24 | step:   378 | loss: 0.177 | iou: 0.342
layer:    24 | step:   379 | loss: 0.136 | iou: 0.390
layer:    24 | step:   380 | loss: 0.140 | iou: 0.362
layer:    24 | step:   381 | loss: 0.110 | iou: 0.435
layer:    24 | step:   382 | loss: 0.166 | iou: 0.348
layer:    24 | step:   383 | loss: 0.122 | iou: 0.449
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:41<00:00,  5.18s/it]
layer:    24 | step:   384 | loss: 0.133 | iou: 0.388
