/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  4.24s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.64s/it]
  0%|                                                                                                                                 | 0/16 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:332: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.70s/it]
layer:     0 | step:   108 | loss: 0.636 | iou: 0.143
layer:     0 | step:   109 | loss: 0.624 | iou: 0.123
layer:     0 | step:   110 | loss: 0.620 | iou: 0.129
layer:     0 | step:   111 | loss: 0.620 | iou: 0.112
layer:     0 | step:   112 | loss: 0.631 | iou: 0.145
layer:     0 | step:   113 | loss: 0.618 | iou: 0.138
layer:     0 | step:   114 | loss: 0.623 | iou: 0.120
layer:     0 | step:   115 | loss: 0.634 | iou: 0.131
layer:     0 | step:   116 | loss: 0.625 | iou: 0.134
layer:     0 | step:   117 | loss: 0.622 | iou: 0.139
layer:     0 | step:   118 | loss: 0.627 | iou: 0.128
layer:     0 | step:   119 | loss: 0.607 | iou: 0.147
layer:     0 | step:   120 | loss: 0.619 | iou: 0.147
layer:     0 | step:   121 | loss: 0.615 | iou: 0.128
layer:     0 | step:   122 | loss: 0.610 | iou: 0.124
layer:     0 | step:   123 | loss: 0.609 | iou: 0.129
layer:     0 | step:   124 | loss: 0.600 | iou: 0.119
layer:     0 | step:   125 | loss: 0.583 | iou: 0.133
layer:     0 | step:   126 | loss: 0.600 | iou: 0.122
layer:     0 | step:   127 | loss: 0.587 | iou: 0.134
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:19<00:00,  4.96s/it]
layer:     0 | step:   128 | loss: 0.620 | iou: 0.133
layer:     0 | step:   129 | loss: 0.621 | iou: 0.142
layer:     0 | step:   130 | loss: 0.616 | iou: 0.146
layer:     0 | step:   131 | loss: 0.618 | iou: 0.155
layer:     0 | step:   132 | loss: 0.604 | iou: 0.153
layer:     0 | step:   133 | loss: 0.615 | iou: 0.120
layer:     0 | step:   134 | loss: 0.602 | iou: 0.131
layer:     0 | step:   135 | loss: 0.608 | iou: 0.117
layer:     0 | step:   136 | loss: 0.610 | iou: 0.157
layer:     0 | step:   137 | loss: 0.607 | iou: 0.128
layer:     0 | step:   138 | loss: 0.598 | iou: 0.123
layer:     0 | step:   139 | loss: 0.607 | iou: 0.138
layer:     0 | step:   140 | loss: 0.588 | iou: 0.134
layer:     0 | step:   141 | loss: 0.599 | iou: 0.137
layer:     0 | step:   142 | loss: 0.617 | iou: 0.129
layer:     0 | step:   143 | loss: 0.596 | iou: 0.135
layer:     0 | step:   144 | loss: 0.590 | iou: 0.142
layer:     0 | step:   145 | loss: 0.602 | iou: 0.157
layer:     0 | step:   146 | loss: 0.596 | iou: 0.132
layer:     0 | step:   147 | loss: 0.597 | iou: 0.141
